fact_table_natural_key (txn_id),accm_txn_complete_time
14442,5/22/22 1:17 PM
18648,5/24/22 8:15 AM
23651,5/20/22 7:50 AM
20381,5/19/22 9:29 PM
24504,5/24/22 1:36 PM
18882,5/23/22 6:49 AM
17912,5/19/22 2:53 AM
13599,5/21/22 12:01 PM
28051,5/22/22 8:23 AM
20542,5/21/22 2:07 PM
29018,5/23/22 7:29 PM
18158,5/21/22 11:13 AM
15580,5/25/22 7:03 AM
25073,5/22/22 2:16 PM
27008,5/21/22 6:46 PM
26289,5/23/22 12:44 PM
16260,5/19/22 3:54 AM
15277,5/23/22 9:46 AM
13665,5/22/22 4:24 PM
13068,5/19/22 9:46 AM
17520,5/21/22 1:21 AM
24598,5/25/22 3:15 PM
28021,5/20/22 9:02 AM
19676,5/22/22 2:31 PM
28778,5/19/22 4:33 AM
27032,5/25/22 2:54 PM
15635,5/25/22 9:21 PM
27267,5/23/22 12:12 PM
11746,5/25/22 5:51 PM
12075,5/24/22 7:29 AM
11017,5/23/22 1:53 PM
15398,5/21/22 10:40 PM
24220,5/22/22 4:54 PM
27245,5/20/22 12:00 AM
20717,5/23/22 9:02 AM
18911,5/25/22 7:50 PM
23466,5/23/22 2:01 PM
19198,5/23/22 4:18 AM
29366,5/19/22 10:10 PM
15783,5/22/22 10:49 PM
14384,5/24/22 3:42 AM
28858,5/19/22 1:34 AM
24655,5/22/22 1:39 PM
25969,5/20/22 4:51 AM
22910,5/24/22 4:54 AM
26066,5/23/22 3:01 PM
18275,5/21/22 12:48 PM
15541,5/25/22 6:27 AM
13046,5/25/22 3:39 AM
29093,5/22/22 12:21 PM
15513,5/23/22 3:34 PM
22452,5/21/22 2:03 PM
27755,5/22/22 8:51 AM
17235,5/19/22 3:29 AM
17237,5/25/22 5:37 PM
22579,5/23/22 5:38 PM
21230,5/21/22 7:59 AM
22736,5/23/22 4:18 PM
14506,5/19/22 5:12 AM
24632,5/23/22 1:33 AM
11560,5/19/22 7:09 AM
19571,5/23/22 3:37 PM
11826,5/21/22 6:32 AM
22267,5/25/22 3:28 PM
19510,5/19/22 5:59 PM
19511,5/23/22 4:44 AM
27125,5/24/22 9:59 PM
26329,5/20/22 1:12 AM
26100,5/20/22 11:17 AM
22088,5/24/22 12:43 AM
29038,5/25/22 5:01 AM
14203,5/20/22 4:05 PM
11644,5/23/22 9:30 PM
16750,5/22/22 9:38 PM
19955,5/25/22 11:05 AM
12884,5/24/22 11:26 AM
26881,5/20/22 4:17 AM
16435,5/20/22 3:43 AM
19659,5/25/22 4:15 PM
21919,5/25/22 7:46 PM
22403,5/20/22 12:34 AM
26790,5/25/22 3:35 AM
17920,5/19/22 5:35 PM
23010,5/25/22 7:23 AM
29042,5/19/22 10:03 PM
12640,5/22/22 4:12 PM
26165,5/25/22 7:35 PM
15550,5/25/22 11:53 PM
26620,5/21/22 5:34 PM
23760,5/21/22 2:11 AM
14363,5/19/22 6:00 PM
26132,5/25/22 7:40 AM
26170,5/20/22 11:03 AM
27049,5/20/22 11:00 AM
20725,5/25/22 4:32 AM
16947,5/21/22 9:50 AM
18864,5/25/22 5:48 AM
17493,5/23/22 3:42 PM
27373,5/22/22 8:45 PM
19563,5/22/22 6:48 PM
24326,5/21/22 7:29 AM
27754,5/21/22 7:01 AM
27890,5/22/22 12:41 PM
26162,5/19/22 3:36 AM
29127,5/24/22 12:35 PM
19603,5/25/22 6:48 AM
18963,5/19/22 3:25 PM
20170,5/24/22 7:16 AM
15984,5/20/22 8:14 PM
16379,5/24/22 2:01 PM
16377,5/21/22 5:28 PM
27499,5/21/22 11:31 AM
26253,5/22/22 2:35 AM
28653,5/22/22 10:55 AM
29079,5/23/22 3:55 PM
11312,5/19/22 6:23 PM
25269,5/22/22 7:44 AM
18280,5/23/22 1:59 AM
18278,5/25/22 12:00 PM
19520,5/22/22 11:16 AM
20785,5/23/22 3:19 PM
29308,5/21/22 6:21 PM
29231,5/24/22 11:05 PM
15582,5/22/22 9:59 AM
15282,5/23/22 5:06 PM
23163,5/25/22 9:38 AM
23682,5/25/22 9:01 AM
16219,5/21/22 12:04 AM
12942,5/24/22 8:14 AM
23904,5/22/22 1:30 AM
27939,5/25/22 9:08 PM
12135,5/23/22 11:16 PM
27794,5/21/22 11:50 PM
22335,5/19/22 5:07 PM
21259,5/22/22 12:37 PM
24070,5/25/22 8:03 AM
22893,5/20/22 7:48 AM
11574,5/23/22 5:11 PM
17565,5/24/22 7:16 PM
24415,5/21/22 6:36 PM
12596,5/25/22 6:14 AM
24763,5/24/22 9:41 AM
14700,5/23/22 8:39 AM
18204,5/21/22 5:02 PM
13432,5/25/22 7:35 PM
24458,5/24/22 6:31 AM
26057,5/21/22 4:59 AM
20477,5/21/22 8:10 AM
20625,5/24/22 2:10 AM
15847,5/19/22 2:18 PM
22896,5/25/22 2:35 AM
28344,5/23/22 9:15 PM
17348,5/22/22 3:41 PM
11266,5/19/22 11:29 AM
11129,5/24/22 6:53 PM
12560,5/22/22 11:41 AM
11328,5/24/22 2:16 PM
22051,5/25/22 5:11 PM
25133,5/21/22 2:37 AM
15127,5/22/22 11:36 PM
15172,5/20/22 2:25 PM
17663,5/21/22 4:42 PM
13429,5/24/22 9:52 PM
17716,5/24/22 2:54 AM
12841,5/22/22 8:39 PM
19028,5/20/22 12:17 AM
27950,5/20/22 7:49 AM
26882,5/23/22 5:31 AM
28767,5/21/22 10:36 AM
16532,5/21/22 3:03 PM
17023,5/23/22 8:37 AM
14478,5/25/22 10:36 PM
11120,5/23/22 2:15 AM
14407,5/21/22 5:49 PM
21380,5/20/22 3:05 PM
23643,5/24/22 10:25 PM
14111,5/22/22 7:04 PM
19230,5/23/22 6:49 PM
20770,5/24/22 2:14 AM
23738,5/19/22 11:26 AM
20423,5/20/22 1:14 AM
24925,5/19/22 2:21 PM
18534,5/22/22 4:41 PM
15613,5/22/22 9:29 PM
18641,5/24/22 5:30 PM
11450,5/21/22 5:20 AM
20534,5/22/22 3:47 PM
21376,5/25/22 7:57 AM
11910,5/22/22 3:41 PM
13933,5/23/22 1:41 AM
14022,5/20/22 1:41 PM
17232,5/23/22 12:35 AM
27558,5/23/22 7:44 AM
16351,5/20/22 3:12 PM
22343,5/20/22 5:15 AM
21989,5/21/22 12:59 PM
24101,5/22/22 2:15 PM
29001,5/22/22 11:03 AM
25872,5/22/22 7:48 AM
24618,5/23/22 6:30 AM
24930,5/20/22 10:08 PM
27131,5/24/22 4:09 PM
26342,5/22/22 8:40 PM
15587,5/23/22 6:18 AM
26028,5/21/22 10:07 AM
12013,5/23/22 9:08 AM
19856,5/23/22 3:55 PM
13363,5/22/22 8:42 AM
19153,5/19/22 2:05 PM
17882,5/23/22 8:02 PM
29258,5/24/22 8:21 AM
26379,5/19/22 7:03 AM
20454,5/23/22 2:55 AM
18805,5/23/22 4:20 PM
17561,5/20/22 11:19 AM
27514,5/23/22 12:05 PM
18665,5/23/22 12:56 PM
19568,5/19/22 2:00 AM
16098,5/22/22 1:07 PM
19794,5/25/22 3:09 AM
18666,5/19/22 5:40 PM
13699,5/21/22 4:26 AM
24189,5/22/22 12:03 AM
28794,5/21/22 8:37 AM
25315,5/24/22 5:07 PM
24602,5/24/22 9:18 PM
26719,5/21/22 2:34 PM
28286,5/19/22 7:48 AM
22078,5/24/22 6:55 AM
13735,5/20/22 6:44 AM
16234,5/23/22 1:41 PM
17364,5/22/22 7:15 AM
22726,5/19/22 9:36 AM
18746,5/21/22 10:06 PM
28918,5/24/22 11:41 AM
18084,5/25/22 1:07 PM
16700,5/20/22 11:09 PM
27710,5/21/22 6:57 AM
18570,5/22/22 11:39 AM
17075,5/24/22 6:11 PM
18507,5/25/22 2:35 PM
27705,5/19/22 9:06 AM
26060,5/21/22 4:36 AM
14562,5/23/22 3:21 PM
24903,5/19/22 7:05 AM
21116,5/21/22 4:38 PM
12016,5/21/22 1:15 PM
21721,5/25/22 7:17 PM
24761,5/23/22 1:14 AM
21178,5/20/22 6:08 AM
18050,5/19/22 3:19 PM
24408,5/23/22 11:25 AM
22520,5/25/22 9:21 PM
12502,5/19/22 2:43 AM
15427,5/19/22 5:45 AM
11378,5/24/22 4:27 AM
15980,5/20/22 2:14 AM
27971,5/25/22 1:14 PM
14367,5/25/22 9:21 PM
27052,5/20/22 7:35 PM
12065,5/19/22 7:38 AM
15686,5/19/22 9:47 AM
23067,5/19/22 6:22 AM
12193,5/25/22 6:04 PM
15862,5/22/22 3:24 PM
26286,5/25/22 5:27 PM
17319,5/20/22 3:30 PM
18282,5/25/22 9:18 PM
27201,5/23/22 10:53 PM
21926,5/20/22 8:01 AM
23157,5/20/22 12:32 PM
23161,5/25/22 11:47 PM
17013,5/22/22 8:33 PM
14071,5/19/22 6:52 AM
27863,5/20/22 5:57 PM
14334,5/21/22 9:16 AM
18470,5/21/22 7:44 AM
13637,5/23/22 1:26 PM
25843,5/25/22 11:39 AM
20072,5/20/22 6:06 PM
17314,5/20/22 12:57 AM
18089,5/25/22 5:43 AM
11045,5/21/22 10:30 PM
18102,5/23/22 9:33 PM
29239,5/20/22 3:11 PM
13526,5/25/22 2:08 AM
11927,5/19/22 7:52 AM
27013,5/24/22 3:47 PM
12991,5/23/22 12:12 PM
